Study Year;Study Programme;Total Applicants;Female Applicants;Male Applicants;Total Offered admission;Female Offered admission;Male Offered admission;Total Admitted;Female Admitted;Male Admitted
2020;Totals;3002;1020;1982;1233;499;734;970;390;580
2020;B-DDIT;328;157;171;64;33;31;55;29;26
2020;B-DS;521;141;380;111;33;78;88;25;63
2020;B-GBI;348;138;210;108;44;64;95;41;54
2020;B-SWU;610;123;487;223;60;163;196;46;150
2020;K-CS;248;49;199;150;36;114;87;18;69
2020;K-DDK;179;121;58;156;106;50;133;92;41
2020;K-DIM;256;109;147;175;85;90;128;64;64
2020;K-GAMES;134;25;109;65;17;48;43;9;34
2020;K-SDT;378;157;221;181;85;96;145;66;79
2019;Totals;2707;839;1868;1085;418;667;872;332;540
2019;B-DDIT;336;139;197;67;36;31;62;33;29
2019;B-DS;312;67;245;79;22;57;68;15;53
2019;B-GBI;377;144;233;80;40;40;72;37;35
2019;B-SWU;552;77;475;176;29;147;163;27;136
2019;K-CS;224;32;192;140;20;120;80;6;74
2019;K-DDK;176;121;55;158;106;52;139;92;47
2019;K-DIM;240;98;142;178;77;101;129;54;75
2019;K-GAMES;132;24;108;64;15;49;52;12;40
2019;K-SDT;358;137;221;143;73;70;107;56;51
2018;Totals;3004;985;2019;1083;430;653;858;335;523
2018;B-DDIT;296;123;173;66;37;29;59;33;26
2018;B-DS;446;106;340;79;24;55;64;23;41
2018;B-GBI;497;192;305;81;37;44;69;28;41
2018;B-SWU;548;87;461;161;33;128;149;30;119
2018;K-CS;200;34;166;132;27;105;91;14;77
2018;K-DDK;221;142;79;170;111;59;139;91;48
2018;K-DIM;373;164;209;218;97;121;159;70;89
2018;K-GAMES;123;23;100;66;16;50;49;14;35
2018;K-SDT;300;114;186;110;48;62;79;32;47
2017;Totals;3414;1192;2222;1090;418;672;831;324;507
2017;B-DMD;357;156;201;71;38;33;63;32;31
2017;B-DS;391;85;306;71;17;54;56;15;41
2017;B-GBI;380;124;256;77;24;53;67;21;46
2017;B-SWU;587;87;500;160;35;125;147;33;114
2017;K-DDK;522;389;133;182;132;50;145;108;37
2017;K-DIM;460;210;250;203;98;105;132;66;66
2017;K-GAMES;211;35;176;79;15;64;61;12;49
2017;K-SDT;506;106;400;247;59;188;160;37;123
2016;Totals;3044;1083;1961;1007;370;637;752;268;484
2016;B-DMD;333;145;188;73;32;41;64;27;37
2016;B-GBI;400;114;286;77;28;49;66;20;46
2016;B-SWU;430;45;385;157;18;139;143;17;126
2016;K-DDK;574;402;172;179;127;52;136;97;39
2016;K-DIM;691;284;407;243;110;133;154;69;85
2016;K-GAMES;216;27;189;78;16;62;58;12;46
2016;K-SDT;400;66;334;200;39;161;131;26;105
2015;Totals;2692;938;1754;837;318;519;627;229;398
2015;B-DMD;355;154;201;75;39;36;69;36;33
2015;B-GBI;327;89;238;72;18;54;57;9;48
2015;B-SWU;317;38;279;100;12;88;89;9;80
2015;K-DDK;449;303;146;179;129;50;136;95;41
2015;K-DIM;644;267;377;176;80;96;123;56;67
2015;K-GAMES;225;35;190;73;14;59;51;10;41
2015;K-SDT;375;52;323;162;26;136;102;14;88
2014;Totals;2408;814;1594;894;328;566;682;258;424
2014;B-DMD;375;158;217;89;39;50;81;38;43
2014;B-GBI;319;103;216;75;17;58;66;16;50
2014;B-SWU;301;22;279;100;9;91;93;9;84
2014;K-DDK;437;267;170;194;135;59;154;107;47
2014;K-DIM;446;173;273;154;71;83;98;44;54
2014;K-GAMES;176;31;145;104;20;84;70;16;54
2014;K-SDT;354;60;294;178;37;141;120;28;92
2013;Totals;2363;767;1596;852;291;561;679;235;444
2013;B-DMD;405;153;252;77;33;44;71;30;41
2013;B-GBI;383;101;282;74;19;55;65;17;48
2013;B-SWU;295;23;272;78;6;72;70;6;64
2013;K-DDK;416;264;152;180;121;59;142;93;49
2013;K-DIM;408;156;252;173;72;101;127;55;72
2013;K-GAMES;151;19;132;93;13;80;68;12;56
2013;K-SDT;305;51;254;177;27;150;136;22;114
